4,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.35800204067481994,0.26326230210197527,0.0007285581444906556,0.35800204067481994,0.26326230210197527,0.0007285581444906556
LastDiminisher_Hor,0.35800112679833773,0.26326163038131556,0.0007315327645402764,0.35800112679833773,0.26326163038131556,0.0007315327645402764
LastDiminisher_SmallestPiece,0.3579995885904569,0.26326049972292104,0.0007306093357100358,0.3579995885904569,0.26326049972292104,0.0007306093357100358
LastDiminisher_Ver,0.35799323549455714,0.26325576190872113,0.0007928168597210389,0.35799323549455714,0.26325576190872113,0.0007928168597210389
LastDiminisher_LargestMargin,0.35760046871841517,0.26296697977605027,0.0007603151130400564,0.35760046871841517,0.26296697977605027,0.0007603151130400564
LastDiminisher_VerHor,0.35815748561889477,0.2633765238439324,0.0008818755763602141,0.35815748561889477,0.2633765238439324,0.0008818755763602141
LastDiminisher_HorVer,0.3581278893225877,0.2633548435906905,0.000697686661181194,0.3581278893225877,0.2633548435906905,0.000697686661181194
LastDiminisher_MostValuableMargin,0.35756634122898645,0.26294187401508085,0.0007801638900494993,0.35756634122898645,0.26294187401508085,0.0007801638900494993
LastDiminisher_SquarePiece,0.35799943644772525,0.26326038800095675,0.0007281894412775086,0.35799943644772525,0.26326038800095675,0.0007281894412775086
LastDiminisher_HighestScatter,0.35763285324623956,0.2629908044096619,0.0007617935590691913,0.35763285324623956,0.2629908044096619,0.0007617935590691913

8,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.4628512375402417,0.315597348824926,0.0008702594247029789,0.4628512375402417,0.315597348824926,0.0008702594247029789
LastDiminisher_Hor,0.4628505097140528,0.3155968526534002,0.0008689052805564256,0.4628505097140528,0.3155968526534002,0.0008689052805564256
LastDiminisher_SmallestPiece,0.4628504754508143,0.3155968292745836,0.0008692849895730248,0.4628504754508143,0.3155968292745836,0.0008692849895730248
LastDiminisher_Ver,0.4629729342104013,0.3156803447800033,0.0007796911388518431,0.4629729342104013,0.3156803447800033,0.0007796911388518431
LastDiminisher_LargestMargin,0.4623500729616572,0.31525561791112794,0.0008221773908052098,0.4623500729616572,0.31525561791112794,0.0008221773908052098
LastDiminisher_VerHor,0.46289501717822645,0.31562721048187803,0.0006948082943629984,0.46289501717822645,0.31562721048187803,0.0006948082943629984
LastDiminisher_HorVer,0.4629664999766549,0.31567592550382284,0.0007932936971367694,0.4629664999766549,0.31567592550382284,0.0007932936971367694
LastDiminisher_MostValuableMargin,0.4622919708772602,0.3152160062861081,0.0007759347435852362,0.4622919708772602,0.3152160062861081,0.0007759347435852362
LastDiminisher_SquarePiece,0.46285129561628335,0.3155973885414144,0.0008683114595822315,0.46285129561628335,0.3155973885414144,0.0008683114595822315
LastDiminisher_HighestScatter,0.46237974003935806,0.3152758639677491,0.0007727501281174579,0.46237974003935806,0.3152758639677491,0.0007727501281174579

16,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.5229066975830388,0.3418843089319712,0.0006812236206760061,0.5229066975830388,0.3418843089319712,0.0006812236206760061
LastDiminisher_Hor,0.5228774334547474,0.34186517373524034,0.0006923802010058513,0.5228774334547474,0.34186517373524034,0.0006923802010058513
LastDiminisher_SmallestPiece,0.5228768293647806,0.34186477904309653,0.0006915861771849381,0.5228768293647806,0.34186477904309653,0.0006915861771849381
LastDiminisher_Ver,0.5230884973427097,0.34200314144408345,0.0008015464003992868,0.5230884973427097,0.34200314144408345,0.0008015464003992868
LastDiminisher_LargestMargin,0.5221803049890892,0.34140936677915923,0.0007127458210064208,0.5221803049890892,0.34140936677915923,0.0007127458210064208
LastDiminisher_VerHor,0.5229038231294202,0.3418824334436851,0.0006088746087496663,0.5229038231294202,0.3418824334436851,0.0006088746087496663
LastDiminisher_HorVer,0.5228974155920288,0.34187824085686486,0.0006318042314677181,0.5228974155920288,0.34187824085686486,0.0006318042314677181
LastDiminisher_MostValuableMargin,0.5220952087237439,0.34135374154126125,0.000661044353232022,0.5220952087237439,0.34135374154126125,0.000661044353232022
LastDiminisher_SquarePiece,0.5228764480575644,0.34186452964770253,0.0006918131682097947,0.5228764480575644,0.34186452964770253,0.0006918131682097947
LastDiminisher_HighestScatter,0.5223319184696849,0.3415085210588057,0.0006753936433279443,0.5223319184696849,0.3415085210588057,0.0006753936433279443

32,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.5523366318928588,0.35323542849242245,0.0005806767976086779,0.5523366318928588,0.35323542849242245,0.0005806767976086779
LastDiminisher_Hor,0.5523398096285728,0.35323746100315445,0.000590672864292337,0.5523398096285728,0.35323746100315445,0.000590672864292337
LastDiminisher_SmallestPiece,0.5523395136788313,0.3532372716270987,0.0005910988240396586,0.5523395136788313,0.3532372716270987,0.0005910988240396586
LastDiminisher_Ver,0.5526944398514274,0.35346424902208745,0.0007089326579230931,0.5526944398514274,0.35346424902208745,0.0007089326579230931
LastDiminisher_LargestMargin,0.551819410733451,0.35290467347478804,0.0005182563066886065,0.551819410733451,0.35290467347478804,0.0005182563066886065
LastDiminisher_VerHor,0.552667927486183,0.3534473122312931,0.0005819253568580852,0.552667927486183,0.3534473122312931,0.0005819253568580852
LastDiminisher_HorVer,0.5526725467329308,0.35345026585249434,0.0006840819289573146,0.5526725467329308,0.35345026585249434,0.0006840819289573146
LastDiminisher_MostValuableMargin,0.5518638693851183,0.3529331018125727,0.0006651518856491505,0.5518638693851183,0.3529331018125727,0.0006651518856491505
LastDiminisher_SquarePiece,0.552340142271957,0.35323767375215837,0.000590470554889162,0.552340142271957,0.35323767375215837,0.000590470554889162
LastDiminisher_HighestScatter,0.552058810048566,0.353057768342488,0.0006226722692933096,0.552058810048566,0.353057768342488,0.0006226722692933096

64,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.5632084869319225,0.3561142756227193,0.0004967588157323018,0.5632084869319225,0.3561142756227193,0.0004967588157323018
LastDiminisher_Hor,0.5632160316804682,0.3561190476025648,0.0005422611655933072,0.5632160316804682,0.3561190476025648,0.0005422611655933072
LastDiminisher_SmallestPiece,0.5632161975051155,0.3561191524348918,0.0005419510417262137,0.5632161975051155,0.3561191524348918,0.0005419510417262137
LastDiminisher_Ver,0.5636453926067183,0.3563905251384166,0.0005010225875362776,0.5636453926067183,0.3563905251384166,0.0005010225875362776
LastDiminisher_LargestMargin,0.562502374520997,0.35566780123502134,0.0006513109568987757,0.562502374520997,0.35566780123502134,0.0006513109568987757
LastDiminisher_VerHor,0.5633941020041986,0.3562316313348811,0.0005849184019215209,0.5633941020041986,0.3562316313348811,0.0005849184019215209
LastDiminisher_HorVer,0.5631461048084105,0.3560748360126132,0.0004500590241317116,0.5631461048084105,0.3560748360126132,0.0004500590241317116
LastDiminisher_MostValuableMargin,0.5627190544970359,0.35580480847782964,0.0004940446919382617,0.5627190544970359,0.35580480847782964,0.0004940446919382617
LastDiminisher_SquarePiece,0.5632012482861225,0.3561096993807568,0.0005581861100075036,0.5632012482861225,0.3561096993807568,0.0005581861100075036
LastDiminisher_HighestScatter,0.5627681171613621,0.35583583077608205,0.0006056599660505395,0.5627681171613621,0.35583583077608205,0.0006056599660505395

128,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.5619245865388528,0.3532345203677593,0.0005473053779663988,0.5619245865388528,0.3532345203677593,0.0005473053779663988
LastDiminisher_Hor,0.5619048768901519,0.3532221303039044,0.0005550249524085449,0.5619048768901519,0.3532221303039044,0.0005550249524085449
LastDiminisher_SmallestPiece,0.5619045978303677,0.3532219548854972,0.0005554164189443195,0.5619045978303677,0.3532219548854972,0.0005554164189443195
LastDiminisher_Ver,0.5634085113003116,0.3541673439118459,0.0004901311024412918,0.5634085113003116,0.3541673439118459,0.0004901311024412918
LastDiminisher_LargestMargin,0.5616132177655024,0.35303879298708646,0.000520497930436387,0.5616132177655024,0.35303879298708646,0.000520497930436387
LastDiminisher_VerHor,0.5620941552748749,0.3533411205390905,0.000538328409499528,0.5620941552748749,0.3533411205390905,0.000538328409499528
LastDiminisher_HorVer,0.5620655940671648,0.3533231653619823,0.0004881276387839265,0.5620655940671648,0.3533231653619823,0.0004881276387839265
LastDiminisher_MostValuableMargin,0.5617873576006625,0.3531482622683053,0.000491194681041734,0.5617873576006625,0.3531482622683053,0.000491194681041734
LastDiminisher_SquarePiece,0.5618971152169879,0.353217251289811,0.0005683910639695393,0.5618971152169879,0.353217251289811,0.0005683910639695393
LastDiminisher_HighestScatter,0.5617738484700197,0.35313976760507676,0.0006212354481861889,0.5617738484700197,0.35313976760507676,0.0006212354481861889

